"camis","name","boro","cuisine","action","score","grade","rating","review_count","location.address1","coordinates.latitude","coordinates.longitude","ratings1"
41222931,"Emilio's of Morris Park","BRONX","Pizza/Italian","violations",8,"A",4,109,"1051 Morris Park Ave",40.849121,-73.854675,"****"
41308105,"Emilio's Pizza","BRONX","Pizza","violations",4,"A",3.5,20,"3843 E Tremont Ave",40.8243141174316,-73.8198394775391,"****"
50005678,"Emily","BROOKLYN","American","violations",8,"A",4,579,"919 Fulton St",40.6835192334848,-73.9664132321178,"****"
41664735,"Rainhas Churrascaria","QUEENS","Spanish","violations",7,"A",4,476,"108-01 Northern Blvd",40.7578718662262,-73.8608124107122,"****"
50007015,"Emir Palace","BROOKLYN","Middle Eastern","violations",16,"B",3.5,8,"4210 18th Ave",40.631809,-73.975578,"****"
41148907,"JFK Airport Terminal 4","QUEENS","Continental","violations",9,"A",2.5,365,"",40.65557,-73.80658,"***"
41142467,"Emmett O'Lunney's Irish Pub","MANHATTAN","Irish","violations",11,"A",4,225,"210 W 50th St",40.76149,-73.98446,"****"
50010941,"Emmons Palace","BROOKLYN","American","violations",11,"A",3,105,"2265 Emmons Ave",40.58393,-73.94427,"***"
50059778,"Emmy Squared - Brooklyn","BROOKLYN","Pizza","violations",28,"C",4,423,"364 Grand St",40.712166,-73.955705,"****"
50043303,"Emoji Burger","QUEENS","Hamburgers","violations",17,"B",4,145,"80-07 37th Ave",40.7496944,-73.8860056,"****"
50053281,"Emojo Burger","MANHATTAN","Sandwiches/Salads/Mixed Buffet","violations",12,"A",4,109,"261 1st Ave",40.7323,-73.98224,"****"
41688677,"Emone Korean Family Restaurant","QUEENS","Korean","violations",5,"A",3.5,31,"156-28 Northern Blvd",40.7638726434502,-73.8089374478851,"****"
50043712,"Empanada Loca","BROOKLYN","American","violations",10,"A",4,136,"606 5th Ave",40.663927,-73.990969,"****"
50043385,"Empanada Mama","MANHATTAN","Latin","violations",8,"A",4,1943,"765 9th Ave",40.76447,-73.98863,"****"
41293435,"Empanadas Cafe","QUEENS","Latin","violations",8,"A",4.5,390,"56-27 Van Doren St",40.7403199,-73.85311,"*****"
50016496,"Empanadas Monumental","MANHATTAN","Spanish","violations",17,"B",4,44,"4093 Broadway",40.8445,-73.9391,"****"
41567865,"Empellón","MANHATTAN","Mexican","violations",30,"C",4,162,"510 Madison Ave",40.75971,-73.97473,"****"
41634185,"Empellon Cocina","MANHATTAN","Mexican","violations",9,"A",3.5,273,"105 1st Ave",40.726799,-73.986282,"****"
41219576,"Emperador Elias Restaurant","BROOKLYN","Latin","violations",21,"B",3.5,44,"274 Broadway",40.70863,-73.9588799,"****"
50034622,"Emperor House","STATEN ISLAND","Chinese","violations",11,"A",4,16,"767 Forest Ave",40.629383,-74.114723,"****"
41101600,"Emphasis","BROOKLYN","American","violations",15,"B",3.5,113,"6822 4th Ave",40.634918,-74.023757,"****"
50066759,"Empire Garden Chinese Restaurant","QUEENS","Chinese","violations",42,"C",3.5,83,"61-17 Springfield Blvd",40.7485524,-73.7562256,"****"
41613016,"Empire 19","BRONX","Chinese","violations",24,"B",2.5,27,"19A Knolls Crescent",40.8787697553635,-73.9174023270607,"***"
50040127,"Empire Buffet","QUEENS","Chinese","violations",30,"C",2,90,"16149 Crossbay Blvd",40.6550403,-73.8385653,"**"
41531789,"Empire Cake","MANHATTAN","Bakery","violations",7,"A",4,500,"112 8th Ave",40.74078,-74.00155,"****"
50036480,"Empire House Chinese","BROOKLYN","Chinese","violations",12,"A",3,27,"1789 Stillwell Ave",40.602970123291,-73.9861602783203,"***"
50000241,"Empire Chinese Restaurant","QUEENS","Chinese","violations",10,"A",3.5,22,"178-17 Union Turnpike 179th St",40.7266465297712,-73.7894148605748,"****"
41569188,"Guggenheim Museum","BRONX","Chinese","violations",13,"A",3.5,870,"1071 5th Ave",40.78301,-73.95912,"****"
41149373,"Central Park - Sheep Meadow","MANHATTAN","Chinese/Japanese","violations",17,"B",4.5,75,"W 67th St",40.7718724982415,-73.9750778675079,"*****"
